"CO_CURSO";"CO_GRUPO";"NU_ANO";"NT_GER";"TP_SEXO";"NU_IDADE";"QE_I02";"QE_I08";"QE_I09";"QE_I10";"QE_I11";"QE_I15";"QE_I23"
5787;13;2015;30,5;"M";"24";"A";"B";"D";"E";"B";"A";"C"
5788;1;2018;58,1;"M";"22";"A";"C";"D";"A";"H";"A";"B"
5789;22;2018;37,4;"M";"25";"A";"B";"C";"E";"E";"A";"B"
5819;22;2015;42,7;"M";"24";"A";"F";"B";"E";"B";"A";"E"
5826;1;2015;55,9;"F";"22";"A";"F";"D";"E";"G";"A";"C"
5827;22;2015;23,6;"M";"24";"";"C";"B";"D";"G";"A";"B"
5835;2;2018;36;"M";"23";"A";"G";"";"E";"I";"A";"B"
5836;18;2018;38,3;"F";"49";"A";"A";"D";"E";"H";"A";"E"
5884;1;2018;62,7;"M";"22";"A";"B";"B";"D";"";"A";"B"
5885;22;2012;NA;"M";"21";"A";"D";"B";"E";"B";"C";"A"
5911;22;2015;37,9;"M";"28";"C";"";"B";"E";"E";"A";"B"
5914;1;2015;30,6;"F";"30";"A";"A";"E";"B";"A";"D";"C"
5919;1;2015;30,4;"F";"24";"A";"D";"E";"A";"C";"A";"B"
5927;81;2012;47,4;"F";"22";"A";"G";"A";"E";"B";"A";"E"
5952;18;2012;58,5;"F";"33";"A";"F";"B";"E";"B";"A";"B"
5957;13;2015;54;"M";"26";"B";"A";"C";"D";"B";"D";"D"
5958;1;2018;NA;"F";"30";"";"";"";"A";"";"A";"B"
5959;22;2012;24,8;"M";"29";"F";"G";"C";"E";"";"";"A"
5961;2;2015;51,9;"M";"23";"A";"F";"B";"";"B";"A";"E"
6055;1;2022;52,2;"F";"29";"C";"E";"C";"C";"I";"A";"B"
6056;13;2012;33;"F";"30";"";"";"E";"";"";"";""
6057;22;2015;NA;"F";"27";"A";"E";"D";"";"B";"A";""
6095;22;2015;23,7;"M";"24";"A";"D";"D";"E";"A";"A";"A"
6096;1;2015;47,8;"M";"25";"D";"B";"C";"E";"E";"A";"B"
6099;2;2015;28,8;"F";"32";"B";"A";"B";"E";"B";"A";"C"
